Feature,Importance
Feature 1825,0.002077941806325443
Feature 1631,0.00206941957877882
Feature 1465,0.002029137267855074
Feature 718,0.0020114622686699503
Feature 969,0.0019922302412379396
Feature 366,0.0019913860107880032
Feature 1101,0.0019897934138804344
Feature 1648,0.0019614381607241937
Feature 272,0.0019548483172544986
Feature 485,0.0019504366518697058
Feature 1199,0.0019457055582655222
Feature 1524,0.0019244518393266325
Feature 1171,0.001921643339000023
Feature 1910,0.0019109783182264166
Feature 693,0.0019046642066960053
Feature 1683,0.0018733611853268635
Feature 1951,0.0018569282706684084
Feature 1043,0.0018500887562119038
Feature 207,0.0018189535843719212
Feature 322,0.0017897094375181625
Feature 389,0.0017894229107478293
Feature 1099,0.0017844988717829887
Feature 14,0.0017681461845929954
Feature 377,0.0017545424167236426
Feature 233,0.001750013412766719
Feature 1160,0.0017459550815023912
Feature 1691,0.0017376275819222856
Feature 650,0.0017157433477058594
Feature 65,0.0016987718853031196
Feature 45,0.0016960814505876055
Feature 458,0.0016853364306908271
Feature 1536,0.0016676892293551416
Feature 766,0.0016630524616488686
Feature 2018,0.0016604805960450742
Feature 2004,0.001644039241350985
Feature 1163,0.001600772625649056
Feature 656,0.001584062172401677
Feature 1501,0.0015742811223194435
Feature 323,0.0015607619775641509
Feature 1508,0.0015569016874624126
Feature 1325,0.0015558053464907295
Feature 381,0.0015521838908245382
Feature 1754,0.0015492816455399605
Feature 1573,0.0015418574199413451
Feature 314,0.0015275526632402912
Feature 787,0.0015171376530306326
Feature 1696,0.0015147579745247958
Feature 974,0.0015144672109696803
Feature 1385,0.001505012939307448
Feature 352,0.001497754905682937
Feature 807,0.0014877227070566883
Feature 294,0.0014846905694550453
Feature 2009,0.0014779192043599672
Feature 803,0.0014712121082902417
Feature 486,0.0014580024991144387
Feature 909,0.0014575500772304594
Feature 1236,0.0014545026420297498
Feature 1745,0.0014384625431523859
Feature 1985,0.0014370290049285197
Feature 1758,0.0014237286706618646
Feature 56,0.001422321905976906
Feature 192,0.0014153718696930588
Feature 1795,0.0014025876499992353
Feature 1989,0.001388565394945069
Feature 736,0.001383922159733608
Feature 1563,0.0013756349259391519
Feature 1991,0.0013714677039908826
Feature 361,0.001362981148873934
Feature 1670,0.0013609365376078873
Feature 1066,0.0013586912244596377
Feature 1665,0.0013451193596700588
Feature 1324,0.0013319509901984943
Feature 1245,0.0013273223034667653
Feature 629,0.0013239713794815633
Feature 1984,0.0013201600233014442
Feature 471,0.0013194526860583452
Feature 184,0.0013008670380613974
Feature 544,0.0013000287003747475
Feature 1518,0.0012888732226505975
Feature 1110,0.0012853483204439786
Feature 961,0.001284418042805215
