molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,IC50,100.0,nM
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,IC50,13350.0,nM
CHEMBL77814,N#CC(C#N)=CNc1ccc(O)cc1,IC50,350000.0,nM
CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,IC50,14000.0,nM
CHEMBL441343,O=C(O)c1ccc(O)cc1,IC50,,nM
CHEMBL441343,O=C(O)c1ccc(O)cc1,Ki,,nM
CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,IC50,238.0,nM
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,IC50,64.0,nM
CHEMBL308339,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,IC50,1400000.0,nM
CHEMBL78174,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,IC50,430000.0,nM
CHEMBL78174,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,Ki,143000.0,nM
CHEMBL302552,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,IC50,22.0,nM
CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,IC50,13500.0,nM
CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,Ki,4500.0,nM
CHEMBL78302,COc1ccc(C=C(C#N)C#N)cc1O,IC50,250000.0,nM
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,IC50,4.5,nM
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,IC50,100.0,nM
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,IC50,,nM
CHEMBL332096,Nc1ccc2ncnc(NCc3ccccc3)c2c1,IC50,508.0,nM
CHEMBL77387,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,IC50,450000.0,nM
CHEMBL77387,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,Ki,150000.0,nM
CHEMBL432903,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,IC50,200.0,nM
CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,IC50,210.0,nM
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,IC50,1410.0,nM
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,IC50,5000.0,nM
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,IC50,4320.0,nM
CHEMBL69129,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,IC50,,nM
CHEMBL78184,N#C/C(=C\c1ccc(F)cc1)C(=O)O,IC50,833000.0,nM
CHEMBL78184,N#C/C(=C\c1ccc(F)cc1)C(=O)O,Ki,2500000.0,nM
CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,IC50,47000.0,nM
CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,Ki,140000.0,nM
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,IC50,1200000.0,nM
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,Ki,400000.0,nM
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,6.5,nM
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,40.0,nM
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,2050.0,nM
CHEMBL136492,CN(c1ccccc1)c1ncnc2ccc(N)cc12,IC50,8400.0,nM
CHEMBL77197,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,IC50,1100000.0,nM
CHEMBL77197,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,Ki,341000.0,nM
CHEMBL305695,N#CC(C#N)=Cc1ccc(O)cc1,IC50,560000.0,nM
CHEMBL305695,N#CC(C#N)=Cc1ccc(O)cc1,Ki,160000.0,nM
CHEMBL68258,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,IC50,20000.0,nM
CHEMBL76587,N#CC(C#N)Cc1ccc(O)cc1,IC50,6500000.0,nM
CHEMBL76587,N#CC(C#N)Cc1ccc(O)cc1,Ki,,nM
CHEMBL77456,COc1ccc(C=C(C#N)C#N)cc1,IC50,1250000.0,nM
CHEMBL77456,COc1ccc(C=C(C#N)C#N)cc1,Ki,400000.0,nM
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,IC50,13.0,nM
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,IC50,200.0,nM
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,IC50,7500.0,nM
CHEMBL308048,N#C/C(=C\c1ccc(O)cc1)C(N)=O,IC50,800000.0,nM
CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,IC50,60000.0,nM
CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,Ki,20000.0,nM
CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,IC50,37000.0,nM
CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,Ki,10000.0,nM
CHEMBL77524,COc1ccc(/C=C(\C#N)C(=O)O)cc1,IC50,833000.0,nM
CHEMBL77524,COc1ccc(/C=C(\C#N)C(=O)O)cc1,Ki,2500000.0,nM
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,29.0,nM
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,5000.0,nM
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,50000.0,nM
CHEMBL307250,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,IC50,325000.0,nM
CHEMBL307250,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,Ki,800000.0,nM
CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,IC50,6000.0,nM
CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,Ki,2200.0,nM
CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,IC50,200.0,nM
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,44.0,nM
CHEMBL77436,CN(C)c1ccc(/C=C(\C#N)C(=O)O)cc1,IC50,,nM
CHEMBL77436,CN(C)c1ccc(/C=C(\C#N)C(=O)O)cc1,Ki,1400000.0,nM
CHEMBL311564,COc1ccc(C(O)=C(C#N)C#N)cc1,IC50,450000.0,nM
CHEMBL76642,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,IC50,75000.0,nM
CHEMBL76642,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,Ki,24000.0,nM
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,4.7,nM
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,IC50,1.8,nM
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,IC50,100.0,nM
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,IC50,,nM
CHEMBL307248,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,IC50,640000.0,nM
CHEMBL307248,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,Ki,240000.0,nM
CHEMBL310958,N#CC(C#N)=NNc1ccc(O)cc1,IC50,225000.0,nM
CHEMBL78005,N#CC(C#N)=Cc1ccc2c(c1)OCO2,IC50,350000.0,nM
CHEMBL78005,N#CC(C#N)=Cc1ccc2c(c1)OCO2,Ki,117000.0,nM
CHEMBL134312,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,11.0,nM
CHEMBL77243,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,IC50,55000.0,nM
CHEMBL80745,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,IC50,1200.0,nM
CHEMBL80745,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,Ki,,nM
CHEMBL77778,N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,IC50,450000.0,nM
CHEMBL77778,N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,Ki,150000.0,nM
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,2.8,nM
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,100.0,nM
